"index.x","index.y","ntaxa","clade","Nx","Ny","A0cx","A0cy","sum.x","sum.y","error","clade_size","rspr_dist","bound"
13,14,4,"12",12,10,10,8,0.833333333333333,0.766666666666667,0.0666666666666665,2,1,0.166666666666667
13,15,4,"12",12,10,10,8,0.833333333333333,0.766666666666667,0.0666666666666665,2,1,0.166666666666667
14,15,4,"12",10,10,8,8,0.766666666666667,0.766666666666667,0,2,1,0.133333333333333
2,4,4,"13",12,10,10,8,0.833333333333333,0.766666666666667,0.0666666666666665,2,1,0.166666666666667
2,5,4,"13",12,10,10,8,0.833333333333333,0.766666666666667,0.0666666666666665,2,1,0.166666666666667
4,5,4,"13",10,10,8,8,0.766666666666667,0.766666666666667,0,2,1,0.133333333333333
6,10,4,"23",12,10,10,8,0.833333333333333,0.766666666666667,0.0666666666666665,2,1,0.166666666666667
6,9,4,"23",12,10,10,8,0.833333333333333,0.766666666666667,0.0666666666666665,2,1,0.166666666666667
9,10,4,"23",10,10,8,8,0.766666666666667,0.766666666666667,0,2,1,0.133333333333333
10,15,4,"123",10,10,12,12,0.75,0.75,0,3,1,0.2
5,10,4,"123",10,10,12,12,0.75,0.75,0,3,1,0.2
5,15,4,"123",10,10,12,12,0.75,0.75,0,3,1,0.2
1,11,4,"14",10,10,8,8,0.766666666666667,0.766666666666667,0,2,1,0.133333333333333
1,6,4,"14",10,12,8,10,0.766666666666667,0.833333333333333,-0.0666666666666665,2,1,0.105555555555556
6,11,4,"14",12,10,10,8,0.833333333333333,0.766666666666667,0.0666666666666665,2,1,0.166666666666667
2,12,4,"24",12,10,10,8,0.833333333333333,0.766666666666667,0.0666666666666665,2,1,0.166666666666667
2,7,4,"24",12,10,10,8,0.833333333333333,0.766666666666667,0.0666666666666665,2,1,0.166666666666667
7,12,4,"24",10,10,8,8,0.766666666666667,0.766666666666667,0,2,1,0.133333333333333
11,12,4,"124",10,10,12,12,0.75,0.75,0,3,1,0.2
11,14,4,"124",10,10,12,12,0.75,0.75,0,3,1,0.2
12,14,4,"124",10,10,12,12,0.75,0.75,0,3,1,0.2
3,13,4,"34",10,12,8,10,0.766666666666667,0.833333333333333,-0.0666666666666665,2,1,0.105555555555556
3,8,4,"34",10,10,8,8,0.766666666666667,0.766666666666667,0,2,1,0.133333333333333
8,13,4,"34",10,12,8,10,0.766666666666667,0.833333333333333,-0.0666666666666665,2,1,0.105555555555556
1,3,4,"134",10,10,12,12,0.75,0.75,0,3,1,0.2
1,4,4,"134",10,10,12,12,0.75,0.75,0,3,1,0.2
3,4,4,"134",10,10,12,12,0.75,0.75,0,3,1,0.2
7,8,4,"234",10,10,12,12,0.75,0.75,0,3,1,0.2
7,9,4,"234",10,10,12,12,0.75,0.75,0,3,1,0.2
8,9,4,"234",10,10,12,12,0.75,0.75,0,3,1,0.2
